City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Asau,RO,46.4333,26.4,39.4,85,100,4.03,light rain
1,Jamestown,US,42.097,-79.2353,47.84,71,1,3.44,clear sky
2,Albany,US,42.6001,-73.9662,39.85,73,84,2.82,broken clouds
3,Port Arthur,CN,38.8,121.2667,46.9,60,100,6.44,overcast clouds
4,Roma,US,43.2128,-75.4557,40.86,79,90,5.75,overcast clouds
5,Shelburne,CA,44.0787,-80.2041,35.49,92,100,3.06,overcast clouds
6,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,14.97,scattered clouds
7,Bengkulu,ID,-3.8004,102.2655,74.44,94,100,4.21,light rain
8,Necochea,AR,-38.5473,-58.7368,67.03,89,97,15.84,light rain
9,Cabo San Lucas,MX,22.8909,-109.9124,80.51,60,95,7.0,overcast clouds
10,Dikson,RU,73.5069,80.5464,-15.05,80,100,2.1,overcast clouds
11,Oyama,JP,36.3,139.8,44.58,61,0,1.99,clear sky
12,Esmeraldas,BR,-19.7625,-44.3139,81.46,68,37,2.71,scattered clouds
13,Rikitea,PF,-23.1203,-134.9692,76.32,69,48,17.25,scattered clouds
14,Tiksi,RU,71.6872,128.8694,-4.85,93,100,10.02,overcast clouds
15,Pevek,RU,69.7008,170.3133,-29.72,96,99,3.96,overcast clouds
16,Faya,SA,18.3851,42.4509,48.31,36,1,6.62,clear sky
17,Provideniya,RU,64.3833,-173.3,-7.96,88,6,10.25,clear sky
18,Sabang,ID,5.8933,95.3214,81.77,77,77,19.44,broken clouds
19,Beberibe,BR,-4.1797,-38.1306,82.44,77,31,13.11,scattered clouds
20,Namibe,AO,-15.1961,12.1522,71.35,69,11,7.02,few clouds
21,Hobart,AU,-42.8794,147.3294,57.06,78,75,1.99,broken clouds
22,Touros,BR,-5.1989,-35.4608,81.5,75,2,14.61,clear sky
23,Waingapu,ID,-9.6567,120.2641,81.14,79,95,3.27,overcast clouds
24,Longyearbyen,SJ,78.2186,15.6401,31.84,74,40,17.27,scattered clouds
25,Yaring,TH,6.8662,101.3689,76.64,82,100,10.0,overcast clouds
26,Omsukchan,RU,62.5333,155.8,-24.66,73,43,2.86,scattered clouds
27,Nanortalik,GL,60.1432,-45.2371,28.49,76,100,14.54,overcast clouds
28,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,80,100,8.93,overcast clouds
29,Vodnyy,RU,63.5046,53.4095,10.26,89,50,9.71,scattered clouds
30,Port Lincoln,AU,-34.7333,135.8667,62.89,69,15,12.64,few clouds
31,Salalah,OM,17.0151,54.0924,71.76,46,0,10.31,clear sky
32,Ous,RU,60.9058,61.5186,7.95,85,24,7.29,few clouds
33,Saint-Joseph,RE,-21.3667,55.6167,73.76,72,89,7.94,overcast clouds
34,Butaritari,KI,3.0707,172.7902,82.9,75,84,11.81,broken clouds
35,Ushuaia,AR,-54.8,-68.3,49.66,76,75,17.27,broken clouds
36,Vao,NC,-22.6667,167.4833,78.42,85,96,16.31,overcast clouds
37,Naze,JP,28.3667,129.4833,59.92,62,5,5.93,clear sky
38,Serenje,ZM,-13.2325,30.2352,71.74,43,80,8.14,broken clouds
39,Maragogi,BR,-9.0122,-35.2225,79.45,79,44,14.23,scattered clouds
40,Hilo,US,19.7297,-155.09,78.53,34,90,6.91,light rain
41,Maldonado,UY,-34.6667,-54.9167,67.39,69,98,13.51,overcast clouds
42,Laguna,US,38.421,-121.4238,59.4,44,1,1.99,clear sky
43,Atbasar,KZ,51.8,68.3333,13.5,79,100,7.34,overcast clouds
44,Leningradskiy,RU,69.3833,178.4167,-20.61,82,95,17.94,overcast clouds
45,Tasiilaq,GL,65.6145,-37.6368,28.45,81,100,12.88,overcast clouds
46,Santa Cruz,BO,-17.8,-63.1667,89.65,55,40,9.22,scattered clouds
47,Yellowknife,CA,62.456,-114.3525,-10.44,83,20,4.61,few clouds
48,Kuryk,KZ,43.2,51.65,47.26,79,95,13.6,overcast clouds
49,Punta Arenas,CL,-53.15,-70.9167,55.51,58,0,14.97,clear sky
50,Mataura,NZ,-46.1927,168.8643,56.48,79,100,6.38,overcast clouds
51,Te Anau,NZ,-45.4167,167.7167,59.61,65,95,2.89,overcast clouds
52,Chumikan,RU,54.7183,135.315,-0.24,90,100,6.67,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,63.9,91,20,9.26,few clouds
54,Busselton,AU,-33.65,115.3333,57.04,77,25,3.65,scattered clouds
55,Fomboni,KM,-12.28,43.7425,80.89,76,9,16.49,clear sky
56,Thompson,CA,55.7435,-97.8558,15.96,86,90,11.5,light snow
57,Mar Del Plata,AR,-38.0023,-57.5575,69.82,87,0,23.0,clear sky
58,Bastia,FR,42.6667,9.3333,49.3,77,75,15.01,broken clouds
59,Cidreira,BR,-30.1811,-50.2056,66.51,73,28,7.94,scattered clouds
60,Pisco,PE,-13.7,-76.2167,69.85,73,75,14.97,broken clouds
61,Srandakan,ID,-7.9386,110.2506,65.73,86,91,2.28,overcast clouds
62,Berdigestyakh,RU,62.0989,126.6992,-7.02,100,100,2.82,overcast clouds
63,Vaini,TO,-21.2,-175.2,82.56,83,20,12.66,few clouds
64,Russkiy Aktash,RU,55.0384,52.1214,15.15,87,6,11.97,clear sky
65,East London,ZA,-33.0153,27.9116,76.77,65,99,14.56,overcast clouds
66,Vagur,FO,61.4732,-6.8119,45.25,75,52,6.04,broken clouds
67,Airai,TL,-8.9266,125.4092,66.61,80,58,1.63,broken clouds
68,Saldanha,ZA,-33.0117,17.9442,64.45,89,3,3.65,clear sky
69,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,93,10.38,overcast clouds
70,Port-Cartier,CA,50.0334,-66.8654,14.76,91,100,2.06,light snow
71,Kapaa,US,22.0752,-159.319,80.92,70,1,1.99,light rain
72,Samarai,PG,-10.6167,150.6667,84.88,72,83,15.55,broken clouds
73,Tuensang,IN,26.2833,94.8333,54.23,95,49,1.45,scattered clouds
74,Gat,IL,31.61,34.7642,64.9,45,97,4.99,overcast clouds
75,Esperance,AU,-33.8667,121.9,62.44,72,0,14.63,clear sky
76,Elliot Lake,CA,46.3834,-82.6331,33.89,96,100,3.2,overcast clouds
77,Matamoros,MX,25.5333,-103.25,81.1,18,97,7.81,overcast clouds
78,Alofi,NU,-19.0595,-169.9187,82.29,65,96,6.91,moderate rain
79,Bandarawela,LK,6.8305,80.9888,60.1,86,87,5.03,overcast clouds
80,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,22,9.22,few clouds
81,New Norfolk,AU,-42.7826,147.0587,56.7,70,84,1.01,broken clouds
82,Makokou,GA,0.5738,12.8642,75.2,75,99,1.63,overcast clouds
83,Port Alfred,ZA,-33.5906,26.891,74.03,74,66,5.77,broken clouds
84,Atuona,PF,-9.8,-139.0333,78.44,73,49,13.42,scattered clouds
85,Mokolo,CM,10.7398,13.8019,70.38,20,81,5.46,broken clouds
86,Najran,SA,17.4924,44.1277,48.85,43,0,0.29,clear sky
87,Lompoc,US,34.6391,-120.4579,66.02,49,1,16.11,clear sky
88,Nara,JP,34.6851,135.8049,51.08,85,4,2.26,clear sky
89,Geilo,NO,60.5333,8.2076,24.39,87,94,3.02,light snow
90,Palmer,US,42.1584,-72.3287,39.61,75,75,4.61,broken clouds
91,Barrow,US,71.2906,-156.7887,-7.58,84,90,5.75,mist
92,Iqaluit,CA,63.7506,-68.5145,2.93,72,75,5.75,light snow
93,Chifeng,CN,42.2683,118.9636,29.34,51,83,5.97,broken clouds
94,Hithadhoo,MV,-0.6,73.0833,80.73,78,77,9.33,broken clouds
95,Araouane,ML,18.9048,-3.5265,70.52,11,100,10.38,overcast clouds
96,Nioro,GM,13.35,-15.75,76.23,37,95,6.24,overcast clouds
97,Duitama,CO,5.8245,-73.0341,56.17,94,77,2.98,broken clouds
98,Bac Lieu,VN,9.285,105.7244,73.53,86,81,3.09,broken clouds
99,Xaxim,BR,-26.9617,-52.5347,82.78,45,3,3.83,clear sky
100,Vaitape,PF,-16.5167,-151.75,81.36,70,7,14.07,clear sky
101,Sarangani,PH,5.4033,125.4636,82.94,77,90,14.56,overcast clouds
102,Vredendal,ZA,-31.6683,18.5012,66.87,67,100,5.79,overcast clouds
103,Brae,GB,60.3964,-1.353,39.11,88,94,7.85,overcast clouds
104,Botwood,CA,49.1499,-55.3482,18.88,93,12,5.23,few clouds
105,Aras,ES,42.5617,-2.356,46.71,90,90,21.85,overcast clouds
106,Atambua,ID,-9.1061,124.8925,78.75,77,82,1.74,broken clouds
107,Luxeuil-Les-Bains,FR,47.8171,6.365,37.62,87,100,11.5,light intensity drizzle
108,San Luis,AR,-33.295,-66.3356,74.53,58,48,7.72,scattered clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,75,4.61,broken clouds
110,Port Victoria,KE,0.0939,33.9756,69.89,81,74,7.11,broken clouds
111,Kodiak,US,57.79,-152.4072,24.66,70,100,15.59,overcast clouds
112,Tazovskiy,RU,67.4667,78.7,2.21,95,100,19.24,snow
113,Saint-Philippe,RE,-21.3585,55.7679,74.75,72,92,7.56,overcast clouds
114,Awjilah,LY,29.1081,21.2869,54.99,37,0,5.41,clear sky
115,Kahului,US,20.8947,-156.47,80.96,62,40,20.71,scattered clouds
116,Cherskiy,RU,68.75,161.3,-33.86,94,99,4.34,overcast clouds
117,Zhigansk,RU,66.7697,123.3711,-7.64,96,100,14.47,overcast clouds
118,Guerrero Negro,MX,27.9769,-114.0611,63.91,60,40,16.91,scattered clouds
119,Umm Lajj,SA,25.0213,37.2685,76.64,37,72,3.06,broken clouds
120,Bredasdorp,ZA,-34.5322,20.0403,63.28,85,50,5.75,scattered clouds
121,Whitehorse,CA,60.7161,-135.0538,20.17,86,20,10.36,few clouds
122,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,72,75,18.01,broken clouds
123,Listvyagi,RU,53.6772,86.951,-0.62,100,91,3.18,overcast clouds
124,Mosquera,CO,4.7059,-74.2302,60.89,82,75,8.05,broken clouds
125,Kazachinskoye,RU,57.6953,93.2761,6.93,92,100,6.76,overcast clouds
126,Acapulco,MX,16.8634,-99.8901,82.4,74,72,9.51,broken clouds
127,Rocha,UY,-34.4833,-54.3333,62.82,78,91,10.45,overcast clouds
128,Bluff,NZ,-46.6,168.3333,56.8,73,100,12.5,overcast clouds
129,Sabancuy,MX,18.9667,-91.1833,82.15,66,2,7.52,clear sky
130,Yulara,AU,-25.2406,130.9889,75.04,19,0,10.36,clear sky
131,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,20,2.3,few clouds
132,Castro,BR,-24.7911,-50.0119,64.42,58,0,4.34,clear sky
133,Beloha,MG,-25.1667,45.05,75.56,79,37,6.02,scattered clouds
134,La Palma,US,33.8464,-118.0467,66.34,58,75,1.01,broken clouds
135,Key West,US,24.5557,-81.7826,80.01,79,0,14.65,clear sky
136,Cahors,FR,44.4167,1.3333,44.15,87,100,9.84,overcast clouds
137,Porto Velho,BR,-8.7619,-63.9039,75.25,94,75,2.3,light rain
138,Zaysan,KZ,47.4667,84.8667,-2.29,88,9,2.39,clear sky
139,Gao,ML,16.6362,1.637,67.37,11,16,11.81,few clouds
140,Neiafu,TO,-18.65,-173.9833,84.88,70,20,5.75,few clouds
141,Port Blair,IN,11.6667,92.75,79.11,79,4,11.36,clear sky
142,Tyrma,RU,50.0833,132.1667,-2.4,100,95,2.17,overcast clouds
143,Fort Nelson,CA,58.8053,-122.7002,2.79,85,75,2.3,broken clouds
144,Walvis Bay,NA,-22.9575,14.5053,60.1,82,0,2.3,clear sky
145,Vidim,RU,56.4088,103.1106,-0.22,93,100,8.34,overcast clouds
146,Kavieng,PG,-2.5744,150.7967,81.95,76,100,7.94,light rain
147,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,13.8,scattered clouds
148,Georgetown,MY,5.4112,100.3354,79.9,89,20,1.01,few clouds
149,Ahuimanu,US,21.4447,-157.8378,78.51,74,75,14.97,light rain
150,Codrington,AU,-38.2667,141.9667,62.19,54,69,10.11,broken clouds
151,Clyde River,CA,70.4692,-68.5914,-9.17,70,20,14.97,few clouds
152,Liku,ID,-0.7275,119.8922,77.29,86,96,1.32,overcast clouds
153,Mount Gambier,AU,-37.8333,140.7667,57.11,67,90,9.22,overcast clouds
154,Baiyin,CN,36.5583,104.2081,27.48,69,100,8.12,light snow
155,Rameshki,RU,57.3439,36.0453,9.25,88,44,8.72,scattered clouds
156,Lewistown,US,40.5992,-77.5714,47.44,61,90,0.0,overcast clouds
157,Tarakan,ID,3.3,117.6333,80.1,94,75,6.91,broken clouds
158,Tuatapere,NZ,-46.1333,167.6833,56.82,84,100,8.32,overcast clouds
159,Seoul,KR,37.5683,126.9778,38.71,100,75,3.44,fog
160,Muros,ES,42.7762,-9.0603,55.24,94,52,1.01,broken clouds
161,Havelock,US,34.8791,-76.9013,66.18,93,91,1.99,overcast clouds
162,Praia,CV,14.9215,-23.5087,72.14,78,20,16.11,few clouds
163,Baculin,PH,7.4525,126.5842,80.08,83,100,5.26,overcast clouds
164,Lemoore,US,36.3008,-119.7829,57.34,54,20,12.66,few clouds
165,Uddevalla,SE,58.3478,11.9424,34.16,97,100,5.53,overcast clouds
166,Kapustin Yar,RU,48.5831,45.7372,29.95,84,60,10.45,broken clouds
167,Grand Gaube,MU,-20.0064,57.6608,77.4,76,82,4.0,broken clouds
168,Avarua,CK,-21.2078,-159.775,80.65,78,100,8.05,overcast clouds
169,Oktyabrskiy,RU,54.4815,53.471,16.25,88,98,12.15,overcast clouds
170,Yumen,CN,40.2833,97.2,19.98,76,94,15.93,overcast clouds
171,Lorengau,PG,-2.0226,147.2712,79.32,78,100,17.27,light rain
172,Abu Samrah,SY,35.3029,37.1841,52.0,63,58,10.54,broken clouds
173,Kemijarvi,FI,66.7131,27.4306,20.03,94,100,7.4,snow
174,Alice Springs,AU,-23.7,133.8833,74.75,19,0,11.5,clear sky
175,Chuy,UY,-33.6971,-53.4616,61.99,81,73,6.71,broken clouds
176,Makakilo City,US,21.3469,-158.0858,77.32,80,90,8.05,overcast clouds
177,Qaanaaq,GL,77.484,-69.3632,-2.79,76,53,6.89,broken clouds
178,Cape Town,ZA,-33.9258,18.4232,65.08,78,75,1.01,broken clouds
179,Tilichiki,RU,60.4667,166.1,-14.53,87,88,9.01,overcast clouds
180,Torbay,CA,47.6666,-52.7314,24.67,75,20,19.57,few clouds
181,Garissa,KE,-0.4536,39.6401,77.07,78,32,8.66,scattered clouds
182,Impfondo,CG,1.6381,18.0667,78.53,62,93,1.41,overcast clouds
183,Lethem,GY,3.3803,-59.7968,83.28,66,94,9.15,light rain
184,Upernavik,GL,72.7868,-56.1549,-0.24,86,80,8.79,broken clouds
185,Oistins,BB,13.0667,-59.5333,78.89,73,20,12.66,few clouds
186,Florianopolis,BR,-27.6146,-48.5012,69.03,67,75,9.22,broken clouds
187,Nikolskoye,RU,59.7035,30.7861,18.01,84,100,10.56,overcast clouds
188,Port Moresby,PG,-9.4431,147.1797,81.82,78,20,6.91,few clouds
189,Olafsvik,IS,64.8945,-23.7142,35.65,71,98,18.23,overcast clouds
190,Matay,EG,28.419,30.7792,61.11,44,100,3.78,overcast clouds
191,Malakal,SS,9.5334,31.6605,79.38,32,3,5.37,clear sky
192,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,5.75,scattered clouds
193,Lashio,MM,22.9333,97.75,56.73,99,15,1.19,few clouds
194,Juneau,US,58.3019,-134.4197,35.6,92,90,11.5,snow
195,Abu Kamal,SY,34.4506,40.9171,52.34,58,3,3.36,clear sky
196,Jinji,CN,23.2281,110.8261,57.99,72,0,2.37,clear sky
197,Kingston,JM,17.997,-76.7936,85.15,58,20,12.66,few clouds
198,Latung,PH,5.5,120.8833,80.94,81,89,2.44,overcast clouds
199,Sekoma,BW,-24.4,23.8833,75.43,56,100,4.36,overcast clouds
200,Mahebourg,MU,-20.4081,57.7,77.29,78,20,2.3,few clouds
201,Cordoba,AR,-31.4135,-64.1811,74.59,88,0,9.22,clear sky
202,Birin,NP,26.8865,88.0718,46.06,73,0,4.81,clear sky
203,Isangel,VU,-19.55,169.2667,86.11,74,75,4.61,broken clouds
204,Bontang,ID,0.1333,117.5,76.55,92,97,7.99,overcast clouds
205,Pangnirtung,CA,66.1451,-65.7125,1.4,92,90,4.61,light snow
206,Buala,SB,-8.145,159.5921,83.57,79,99,7.4,light rain
207,Weligama,LK,5.9667,80.4167,74.44,90,88,6.82,overcast clouds
208,Otjimbingwe,NA,-22.35,16.1333,80.55,25,97,2.08,overcast clouds
209,Lebu,CL,-37.6167,-73.65,57.51,86,46,9.35,scattered clouds
210,Sakaiminato,JP,35.55,133.2333,46.38,100,75,0.0,broken clouds
211,Xai-Xai,MZ,-25.0519,33.6442,75.74,85,79,8.46,broken clouds
212,Saint Cloud,US,45.5608,-94.1625,29.89,90,90,1.01,mist
213,Mocoa,CO,1.1493,-76.6466,74.62,98,100,1.39,overcast clouds
214,Balakhninskiy,RU,58.0106,114.2769,1.22,93,100,6.98,overcast clouds
215,Yeppoon,AU,-23.1333,150.7333,82.18,68,0,7.02,clear sky
216,Ballina,AU,-28.8667,153.5667,75.78,71,40,11.5,scattered clouds
217,Roshchino,RU,60.2519,29.6085,17.37,87,95,12.62,overcast clouds
218,Huilong,CN,31.8111,121.655,53.04,81,25,7.74,scattered clouds
219,Gigmoto,PH,13.7796,124.39,78.94,90,98,16.71,overcast clouds
220,Sakakah,SA,29.9697,40.2064,53.17,52,100,8.25,overcast clouds
221,Kavaratti,IN,10.5669,72.642,81.25,75,38,4.18,scattered clouds
222,Othaya,KE,-0.5652,36.9609,62.28,98,90,2.44,overcast clouds
223,Buraydah,SA,26.326,43.975,54.05,46,57,6.2,broken clouds
224,Northam,GB,51.0333,-4.2167,46.62,75,34,12.33,scattered clouds
225,Sitka,US,57.0531,-135.33,33.69,86,90,6.91,light rain
226,Fortuna,US,40.5982,-124.1573,53.85,67,1,4.0,clear sky
227,Ribeira Grande,PT,38.5167,-28.7,64.04,76,8,14.38,clear sky
228,Okha,RU,53.5739,142.9478,23.72,96,100,3.29,light snow
229,Tchibanga,GA,-2.85,11.0333,72.61,97,100,0.47,overcast clouds
